Wall time,Step,Value
1522398119.5518334,5,0.6159999966621399
1522398119.8005383,6,0.6359999775886536
1522398120.7602868,10,0.5920000076293945
1522398121.0076237,11,0.6520000100135803
1522398121.6096623,13,0.6399999856948853
1522398121.874714,14,0.6639999747276306
1522398122.1156852,15,0.6480000019073486
1522398122.6331637,17,0.5879999995231628
1522398122.851185,18,0.6800000071525574
1522398123.1327114,19,0.6439999938011169
1522398123.6491425,20,0.6600000262260437
1522398125.1312776,24,0.6080000400543213
1522398127.4116688,33,0.6600000262260437
1522398127.646578,34,0.628000020980835
1522398128.1319017,36,0.6640000343322754
1522398128.8687196,39,0.656000018119812
1522398129.142453,40,0.5999999642372131
1522398129.5636833,42,0.6439999938011169
1522398130.0103786,44,0.6320000290870667
1522398130.2208173,45,0.6520000100135803
1522398130.7153614,47,0.699999988079071
1522398131.1827638,49,0.6640000343322754
1522398131.4159393,50,0.6040000319480896
1522398132.088674,53,0.6159999966621399
1522398132.3070366,54,0.7200000286102295
1522398132.5433853,55,0.671999990940094
1522398132.7618387,56,0.6159999966621399
1522398132.987332,57,0.671999990940094
1522398133.6905472,60,0.6639999747276306
1522398133.922345,61,0.6800000071525574
1522398134.335962,63,0.656000018119812
1522398134.7772782,65,0.671999990940094
1522398135.0131645,66,0.6800000071525574
1522398135.230558,67,0.6759999990463257
1522398135.4668183,68,0.6679999828338623
1522398136.1390305,71,0.699999988079071
1522398136.3439028,72,0.6920000314712524
1522398136.586644,73,0.6920000314712524
1522398136.775895,74,0.6800000071525574
1522398137.221877,76,0.7039999961853027
1522398137.84437,79,0.7319999933242798
1522398138.8719757,84,0.6840000152587891
1522398139.0948107,85,0.6600000262260437
1522398139.3070984,86,0.7279999852180481
1522398139.5033045,87,0.699999988079071
1522398139.7082422,88,0.7039999961853027
1522398139.9353867,89,0.6959999799728394
1522398140.9753041,94,0.699999988079071
1522398142.6930892,102,0.6800000071525574
1522398143.4333436,105,0.7240000367164612
1522398143.683762,106,0.6800000071525574
1522398145.2220867,113,0.7039999961853027
1522398145.8626952,116,0.6959999799728394
1522398146.321803,118,0.7440000176429749
1522398146.5266502,119,0.7240000367164612
1522398146.731576,120,0.7120000123977661
1522398147.5883167,124,0.7120000123977661
1522398147.8090816,125,0.7239999771118164
1522398147.9984863,126,0.7279999852180481
1522398148.7022614,129,0.7400000095367432
1522398148.9348075,130,0.7199999690055847
1522398149.6891382,133,0.7120000123977661
1522398150.587231,137,0.7200000286102295
1522398151.0231752,139,0.7319999933242798
1522398151.481399,141,0.7239999771118164
1522398151.6862645,142,0.7239999771118164
1522398151.9223695,143,0.7319999933242798
